Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-1-L-L-U-0238,National Law School of India University,Bengaluru,Karnataka,75.79,1,87.46,32.76,77.78,64.45,100.00
IR-1-L-L-U-0111,National Law University,New Delhi,Delhi,74.58,2,93.31,52.56,62.52,73.21,64.24
IR-1-L-L-N-18,Nalsar University of Law,Hyderabad,Telangana,70.95,3,78.13,30.45,89.53,74.58,52.90
IR-5-L-OEMAL-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,67.07,4,74.73,76.61,71.46,62.87,15.33
IR-1-L-L-U-0414,National Law University Jodhpur,Jodhpur,Rajasthan,63.50,5,73.54,33.77,75.53,60.51,40.90
IR-5-L-OEMAL-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.91,6,57.42,51.39,72.56,68.32,42.61
IR-1-L-L-U-0585,The West Bengal National University of Juridicial Sciences,Kolkata,West Bengal,59.17,7,64.96,34.05,63.12,64.04,58.96
IR-1-L-L-U-0511,"Dr. Ram Manohar Lohiya National Law University, Lucknow",Lucknow,Uttar Pradesh,54.82,8,66.47,0.00,79.04,38.91,45.82
IR-1-L-L-C-19328,Symbiosis Law School,Pune,Maharashtra,54.25,9,52.24,7.40,80.02,73.50,48.80
IR-1-L-L-C-23907,Dr. B. R. Ambedkar College of Law,Visakhapatnam,Andhra Pradesh,50.93,10,75.75,6.06,56.02,48.66,8.37
